210422-030356, 1, Barra 80% 50g R$15.00
210422-030356, 3, Barra 50% 80g R$66.00
210422-030356, Cartão de crédito, 5% de desconto R$4.05, R$76.95
210422-030631, 4, Barra 50% 80g R$88.00
210422-030631, Cartão de débito, 5% de desconto R$4.40, R$83.60
210422-030701, 1, Barra 80% 50g R$15.00
210422-030701, 1, Avelã Nuvega 40g R$12.00
210422-030701, Cartão de débito, Sem desconto, R$27.00
210422-101836, 1, Barra 55% 80g R$22.00
210422-101836, Cartão de crédito, 5% de desconto R$1.10, R$20.90
210422-101843, 1, Barra 70%  R$0.00
210422-101843, Cartão de débito, Sem desconto, R$0.00
210422-102005, 1, Barra 80% 50gNuts R$15.00
210422-102005, 1, Barra Cupulate 80gBerries R$22.00
210422-102005, 1, Barra Cupulate 18gDamasco R$6.00
210422-102005, Cartão de débito, 5% de desconto R$2.15, R$40.85
